"key","Genres","IMDbRating","IMDbVotes","MovieDirector","MoviePoster","MoviePosterSrc","MovieTitle","ReleasedYear","Runtime","Seeds","URL","UploadedTime","Uploader","YTSLikes"
"","Action / Crime / Drama","9.3","2961790","Frank Darabont","
            ","https://img.yts.mx/assets/images/movies/The_Shawshank_Redemption_1994/medium-cover.jpg","The Shawshank Redemption","1994","2hr22min","100+","https://yts.mx/movies/the-shawshank-redemption-1994","September 16, 2021 at 08:45 PM","OTTO","1407"
"","Action / Mystery / Thriller","7.7","493731","Paul Greengrass","
            ","https://img.yts.mx/assets/images/movies/The_Bourne_Supremacy_2004/medium-cover.jpg","The Bourne Supremacy","2004","1hr48min","null","https://yts.mx/movies/the-bourne-supremacy-2004","July 04, 2022 at 07:05 PM","OTTO","234"
"","Action / Comedy / Drama","7.4","3387","Johan Nijenhuis","
            ","https://img.yts.mx/assets/images/movies/the_marriage_escape_2020/medium-cover.jpg","The Marriage Escape","2020 ","1hr43min","null","https://yts.mx/movies/the-marriage-escape-2020","January 07, 2023 at 01:12 AM","FREEMAN","2"
"","Action / Crime / Drama / Mystery / Romance","6.9","1283","Jonathan Wright","
            ","https://img.yts.mx/assets/images/movies/crossword_mysteries_abracadaver_2020/medium-cover.jpg","Crossword Mysteries: Abracadaver","2019","1hr25min","null","https://yts.mx/movies/crossword-mysteries-abracadaver-2019","March 19, 2021 at 09:09 PM","FREEMAN","7"
"","Action / Comedy / Drama","6.7","5225","Michael Angelo Covino","
            ","https://img.yts.mx/assets/images/movies/the_climb_2019/medium-cover.jpg","The Climb","2019","1hr37min","null","https://yts.mx/movies/the-climb-2019","April 22, 2021 at 03:13 AM","FREEMAN","2"
"","Action / Drama","4.6","1150","Paco León","
            ","https://img.yts.mx/assets/images/movies/rainbow_2022/medium-cover.jpg","Rainbow","2022 ","1hr58min","null","https://yts.mx/movies/rainbow-2022","February 11, 2023 at 09:00 AM","FREEMAN","3"
"","Action / Comedy / Crime / Thriller","6.4","91643","Matthias Schweighöfer","
            ","https://img.yts.mx/assets/images/movies/army_of_thieves_2021/medium-cover.jpg","Army of Thieves","2021","2hr9min","null","https://yts.mx/movies/army-of-thieves-2021","October 30, 2021 at 04:58 AM","FREEMAN","177"
"","Action / Drama / Horror / Mystery / Thriller","7.1","427637","Ari Aster","
            ","https://img.yts.mx/assets/images/movies/midsommar_2019/medium-cover.jpg","Midsommar","2019","2hr28min","100+","https://yts.mx/movies/midsommar-2019","August 12, 2020 at 12:55 PM","FREEMAN","321"
"","Action / Adventure / Animation / Comedy / Family / Fantasy / Sci-Fi","5.8","2925","Howard E. Baker","
            ","https://img.yts.mx/assets/images/movies/lego_the_adventures_of_clutch_powers_2010/medium-cover.jpg","Lego: The Adventures of Clutch Powers","2010 ","1hr18min","null","https://yts.mx/movies/lego-the-adventures-of-clutch-powers-2010","April 15, 2019 at 05:41 PM","FREEMAN","20"
"","Action / Documentary / History / Sport","7.9","4561","Paul Crowder","
            ","https://img.yts.mx/assets/images/movies/1_2_2013/medium-cover.jpg","1","2013","1hr51min","null","https://yts.mx/movies/1-2-2013","August 05, 2023 at 05:30 PM","FREEMAN","1"
"","Action / Crime / Horror / Mystery / Thriller","3.9","854","RJ Collins","
            ","https://img.yts.mx/assets/images/movies/crescent_city_2024/medium-cover.jpg","Crescent City","2024","1hr42min","null","https://yts.mx/movies/crescent-city-2024","August 16, 2024 at 07:11 AM","FREEMAN","23"
